Lb/ry,h/tw,B/2t,h/B,tf/tw,E/Fy,Mp/Mcr,Mn/Mp
100.3460208,41.2,7.6875,1.674796748,1.6,208.279468,3.424018796,0.933695977
107.266436,41.2,7.6875,1.674796748,1.6,208.279468,0.462899483,0.948897176
117.6470588,41.2,7.6875,1.674796748,1.6,208.279468,0.628022346,0.965955214
48.63221884,35.68,5.223880597,1.911428571,1.786666667,208.279468,0.869988124,0.812574884
57.75075988,35.68,5.223880597,1.911428571,1.786666667,208.279468,1.063377347,0.771604774
66.86930091,35.68,5.223880597,1.911428571,1.786666667,208.279468,1.331991927,0.768934786
75.98784195,35.68,5.223880597,1.911428571,1.786666667,208.279468,1.678566701,0.826467581
88.14589666,35.68,5.223880597,1.911428571,1.786666667,208.279468,1.960572988,0.887034421
97.26443769,35.68,5.223880597,1.911428571,1.786666667,208.279468,2.244542077,0.918216873
109.4224924,35.68,5.223880597,1.911428571,1.786666667,208.279468,2.457999773,0.947379016
118.5410334,35.68,5.223880597,1.911428571,1.786666667,208.279468,0.590340415,0.962929102
121.5805471,35.68,5.223880597,1.911428571,1.786666667,208.279468,0.809376937,0.967230785
44.21768707,42.63636364,7.529411765,1.83203125,1.545454545,208.279468,1.137301062,0.847370758
54.42176871,42.63636364,7.529411765,1.83203125,1.545454545,208.279468,1.404707896,0.772652787
64.62585034,42.63636364,7.529411765,1.83203125,1.545454545,208.279468,1.782922115,0.762843214
68.02721088,42.63636364,7.529411765,1.83203125,1.545454545,208.279468,2.280657969,0.781608314
78.23129252,42.63636364,7.529411765,1.83203125,1.545454545,208.279468,2.692185307,0.852221774
88.43537415,42.63636364,7.529411765,1.83203125,1.545454545,208.279468,3.111224427,0.900443309
98.63945578,42.63636364,7.529411765,1.83203125,1.545454545,208.279468,3.428676614,0.933376242
105.4421769,42.63636364,7.529411765,1.83203125,1.545454545,208.279468,0.529601881,0.949443496
115.6462585,42.63636364,7.529411765,1.83203125,1.545454545,208.279468,0.714215243,0.967413835
42.62295082,33.73049645,5.327868852,1.829230769,1.730496454,208.279468,0.981661925,0.866650532
52.45901639,33.73049645,5.327868852,1.829230769,1.730496454,208.279468,1.193251911,0.776380754
62.29508197,33.73049645,5.327868852,1.829230769,1.730496454,208.279468,1.484622453,0.682545865
65.57377049,33.73049645,5.327868852,1.829230769,1.730496454,208.279468,1.857257263,0.659252849
75.40983607,33.73049645,5.327868852,1.829230769,1.730496454,208.279468,2.158468611,0.626804149
85.24590164,33.73049645,5.327868852,1.829230769,1.730496454,208.279468,2.460481539,0.602953605
95.08196721,33.73049645,5.327868852,1.829230769,1.730496454,208.279468,2.68686906,0.905529174
101.6393443,33.73049645,5.327868852,1.829230769,1.730496454,208.279468,0.594982443,0.924039387
111.4754098,33.73049645,5.327868852,1.829230769,1.730496454,208.279468,0.797954258,0.9453746
55.81395349,53.28440367,6.907894737,2.765714286,1.394495413,208.279468,1.025139384,0.741865275
65.11627907,53.28440367,6.907894737,2.765714286,1.394495413,208.279468,1.274174099,0.669850258
74.41860465,53.28440367,6.907894737,2.765714286,1.394495413,208.279468,1.542708813,0.631231286
