Fy (ksi),Lb,bf,tf,tw,h0,ry,Mn(Modified),Mn(AISC code),Mn(FE model),Mp,b,Mcr
139.236,180,10,0.745,0.49,26.155,2.12,17962.99598,20496.4358582017,17647.9604960142,38707.608,10,21093.2559939283
139.236,200,10,0.745,0.49,26.155,2.12,15508.58707,16983.9405066237,14058.0788308237,38707.608,10,17467.6596351436
139.236,230,10,0.745,0.49,26.155,2.12,12638.52943,13318.0367701042,10810.4295438441,38707.608,10,13684.5379279178
139.236,260,10,0.745,0.49,26.155,2.12,10513.78704,10830.5990149291,10314.1289548273,38707.608,10,11118.4180543123
139.236,290,10,0.745,0.49,26.155,2.12,8919.098038,9060.20681249552,8469.56250664305,38707.608,10,9292.75895692078
139.236,190,15.8,1.58,0.83,38.12,3.58,133077.938,174045,156789.430469442,174045,15.8,226770.317153377
139.236,230,15.8,1.58,0.83,38.12,3.58,113522.7778,170998.266272988,132908.08724535,174045,15.8,160427.319634047
139.236,260,15.8,1.58,0.83,38.12,3.58,100084.4967,158326.481258091,124311.379627989,174045,15.8,129302.130477284
139.236,300,15.8,1.58,0.83,38.12,3.58,84772.36354,97198.5523234981,79135.117360496,174045,15.8,101273.120580855
139.236,350,15.8,1.58,0.83,38.12,3.58,69789.92695,75597.7386254591,62851.8669176262,174045,15.8,78621.286286638
139.236,390,15.8,1.58,0.83,38.12,3.58,60560.30092,63801.8338522104,57856.2167404783,174045,15.8,66262.5653509353
139.236,430,15.8,1.58,0.83,38.12,3.58,53208.90288,55019.9209814994,51123.9568644819,174045,15.8,57069.7659305951
139.236,460,15.8,1.58,0.83,38.12,3.58,48658.7399,49808.631797025,41826.1844995571,174045,15.8,51619.1784426203
139.236,170,12.9,2.07,1.29,13.03,3.31,48230.429,53745.096,48190.2568644818,53745.096,12.9,126191.997007743
139.236,230,12.9,2.07,1.29,13.03,3.31,44355.85287,53745.096,46830.5638175376,53745.096,12.9,87858.427762323
139.236,280,12.9,2.07,1.29,13.03,3.31,41167.11175,53745.096,42752.9470327724,53745.096,12.9,70351.0752369767
139.236,310,12.9,2.07,1.29,13.03,3.31,39342.16662,53745.096,39452.645615589,53745.096,12.9,62904.0493125234
139.236,160,15.1,1.5,0.83,29.8,3.51,99288.53237,117932.892,112871.39061116,117932.892,15.1,207048.186568712
139.236,190,15.1,1.5,0.83,29.8,3.51,89795.65813,117932.892,108229.141275465,117932.892,15.1,151994.215291313
139.236,230,15.1,1.5,0.83,29.8,3.51,77083.65224,116828.677647037,94724.6148361382,117932.892,15.1,109129.623958943
139.236,260,15.1,1.5,0.83,29.8,3.51,68456.69141,108555.202375865,82108.3684676705,117932.892,15.1,88935.349469261
139.236,300,15.1,1.5,0.83,29.8,3.51,58663.74656,97523.9020143028,76997.0965456156,117932.892,15.1,70656.3430537554
139.236,350,15.1,1.5,0.83,29.8,3.51,49052.23593,53415.0022802225,44154.3228520815,117932.892,15.1,55765.8428440144
139.236,390,15.1,1.5,0.83,29.8,3.51,43081.74127,45632.8768213076,38151.699911426,117932.892,15.1,47565.0796618288
139.236,430,15.1,1.5,0.83,29.8,3.51,38279.80358,39784.2728046226,30418.5922940655,117932.892,15.1,41410.5437715242
139.236,460,15.1,1.5,0.83,29.8,3.51,35279.54552,36283.7706526029,28588.5436669619,117932.892,15.1,37731.5439663666
139.236,190,15.7,1.15,0.715,32.55,3.56,81446.08274,107629.428,98096.1442426927,107629.428,15.7,136542.663769311
139.236,230,15.7,1.15,0.715,32.55,3.56,68930.7966,104450.350551445,79446.0255093003,107629.428,15.7,95930.4526479232
139.236,260,15.7,1.15,0.715,32.55,3.56,60370.57004,96364.3006276211,77920.6193976971,107629.428,15.7,76904.135497707
139.236,300,15.7,1.15,0.715,32.55,3.56,50676.2277,57339.2270648089,54039.9061116032,107629.428,15.7,59801.992632879
139.236,350,15.7,1.15,0.715,32.55,3.56,41270.98345,44197.17988738,34690.4887068202,107629.428,15.7,46022.4910464904
139.236,390,15.7,1.15,0.715,32.55,3.56,35527.17709,37049.4664644308,27826.95425155,107629.428,15.7,38532.781736271
139.236,430,15.7,1.15,0.715,32.55,3.56,30985.98508,31749.4697363363,29649.021789194,107629.428,15.7,32982.7483850394
139.236,460,15.7,1.15,0.715,32.55,3.56,28192.8852,28616.4188975979,27525.7032772365,107629.428,15.7,29703.9248611681
139.236,100,12.5,1.15,0.72,20.95,2.95,48443.48565,51935.028,54686.71744907,51935.028,12.5,158994.532395543
139.236,130,12.5,1.15,0.72,20.95,2.95,44546.88583,51935.028,52841.797785651,51935.028,12.5,98128.0096086463
139.236,160,12.5,1.15,0.72,20.95,2.95,39784.73602,51935.028,45257.9854738707,51935.028,12.5,68000.0417503243
139.236,190,12.5,1.15,0.72,20.95,2.95,34958.70038,51935.028,43152.732683791,51935.028,12.5,50841.2821969976
139.236,200,12.5,1.15,0.72,20.95,2.95,33435.73769,51161.7989585243,40710.8680248007,51935.028,12.5,46731.9460363131
139.236,230,12.5,1.15,0.72,20.95,2.95,29267.04666,46989.93752179,37282.4642161205,51935.028,12.5,37377.985648151
139.236,260,12.5,1.15,0.72,20.95,2.95,25747.89618,42818.0760850557,31821.4529672276,51935.028,12.5,30970.450670057
139.236,290,12.5,1.15,0.72,20.95,2.95,22833.35174,24962.6189352325,20727.0693091231,51935.028,12.5,26360.2212957268
139.236,310,12.5,1.15,0.72,20.95,2.95,21179.98094,22715.6815422534,21765.2633746678,51935.028,12.5,23958.56959005
139.236,340,12.5,1.15,0.72,20.95,2.95,19061.09137,20003.6362722448,16118.684765279,51935.028,12.5,21063.9852555477
139.236,120,11.4,1.59,0.89,18.41,2.76,48864.16206,55415.928,54345.1110717449,55415.928,11.4,118607.649778694
