Lb/ry,h/tw,B/2t,h/B,tf/tw,E/Fy,Mp/Mcr,Mn/Mp (Formula),Mn/Mp (FEM)
134.8837209,53.28440367,53.28440367,53.28440367,1.394495413,208.279468,4.082783363,0.234741708,0.184436717
66.03773585,53.37755102,53.37755102,53.37755102,1.520408163,208.279468,1.154967136,0.630164147,0.755296929
75.47169811,53.37755102,53.37755102,53.37755102,1.520408163,208.279468,1.480192811,0.540599126,0.666907891
84.90566038,53.37755102,53.37755102,53.37755102,1.520408163,208.279468,1.835070319,0.464068872,0.45593002
94.33962264,53.37755102,53.37755102,53.37755102,1.520408163,208.279468,2.215958452,0.400659919,0.363186452
108.490566,53.37755102,53.37755102,53.37755102,1.520408163,208.279468,2.828565217,0.326512799,0.27928436
122.6415094,53.37755102,53.37755102,53.37755102,1.520408163,208.279468,3.481395268,0.271620686,0.266462576
136.7924528,53.37755102,53.37755102,53.37755102,1.520408163,208.279468,4.165351558,0.230422351,0.218808729
53.0726257,45.92771084,45.92771084,45.92771084,1.903614458,208.279468,0.767494627,0.76461799,0.900855701
64.24581006,45.92771084,45.92771084,45.92771084,1.903614458,208.279468,1.084883799,0.652261069,0.763642088
72.62569832,45.92771084,45.92771084,45.92771084,1.903614458,208.279468,1.346033506,0.575049537,0.714248497
83.79888268,45.92771084,45.92771084,45.92771084,1.903614458,208.279468,1.718570525,0.487071525,0.454681935
97.76536313,45.92771084,45.92771084,45.92771084,1.903614458,208.279468,2.213713464,0.40098783,0.361124232
108.9385475,45.92771084,45.92771084,45.92771084,1.903614458,208.279468,2.626596164,0.347957717,0.332421022
120.1117318,45.92771084,45.92771084,45.92771084,1.903614458,208.279468,3.049688345,0.305719227,0.293739877
128.4916201,45.92771084,45.92771084,45.92771084,1.903614458,208.279468,3.371711934,0.279575626,0.240318219
51.35951662,10.10077519,10.10077519,10.10077519,1.604651163,208.279468,0.425899402,0.897392182,0.896644726
69.48640483,10.10077519,10.10077519,10.10077519,1.604651163,208.279468,0.611723854,0.825300468,0.871345803
84.59214502,10.10077519,10.10077519,10.10077519,1.604651163,208.279468,0.763955573,0.765969638,0.795476243
93.65558912,10.10077519,10.10077519,10.10077519,1.604651163,208.279468,0.854398033,0.732014073,0.734069684
105.7401813,10.10077519,10.10077519,10.10077519,1.604651163,208.279468,0.974182039,0.68924592,0.794838189
126.8882175,10.10077519,10.10077519,10.10077519,1.604651163,208.279468,1.182158235,0.621866576,0.750772936
145.0151057,10.10077519,10.10077519,10.10077519,1.604651163,208.279468,1.359246621,0.571506577,0.690732902
151.0574018,10.10077519,10.10077519,10.10077519,1.604651163,208.279468,1.418096965,0.55612965,0.674482367
166.163142,10.10077519,10.10077519,10.10077519,1.604651163,208.279468,1.564913292,0.520508052,0.633163768
181.2688822,10.10077519,10.10077519,10.10077519,1.604651163,208.279468,1.711367659,0.488557535,0.591258081
45.58404558,35.90361446,35.90361446,35.90361446,1.807228916,208.279468,0.569591523,0.841907043,0.957081512
54.13105413,35.90361446,35.90361446,35.90361446,1.807228916,208.279468,0.775903818,0.761413178,0.91771803
65.52706553,35.90361446,35.90361446,35.90361446,1.807228916,208.279468,1.080667996,0.653623013,0.803207767
74.07407407,35.90361446,35.90361446,35.90361446,1.807228916,208.279468,1.326051932,0.580471574,0.696229585
85.47008547,35.90361446,35.90361446,35.90361446,1.807228916,208.279468,1.669105517,0.497433291,0.652889073
99.71509972,35.90361446,35.90361446,35.90361446,1.807228916,208.279468,2.114787224,0.415933461,0.374402104
111.1111111,35.90361446,35.90361446,35.90361446,1.807228916,208.279468,2.479400704,0.365307257,0.323503471
122.5071225,35.90361446,35.90361446,35.90361446,1.807228916,208.279468,2.847895276,0.324589713,0.257931369
131.0541311,35.90361446,35.90361446,35.90361446,1.807228916,208.279468,3.125578219,0.299149329,0.242413657
53.37078652,45.52447552,45.52447552,45.52447552,1.608391608,208.279468,0.788247607,0.756726894,0.911424933
64.60674157,45.52447552,45.52447552,45.52447552,1.608391608,208.279468,1.121952675,0.640445628,0.738144084
73.03370787,45.52447552,45.52447552,45.52447552,1.608391608,208.279468,1.399527182,0.560911371,0.723971323
84.26966292,45.52447552,45.52447552,45.52447552,1.608391608,208.279468,1.79976324,0.470839887,0.502092291
98.31460674,45.52447552,45.52447552,45.52447552,1.608391608,208.279468,2.338626736,0.383454453,0.32231416
109.5505618,45.52447552,45.52447552,45.52447552,1.608391608,208.279468,2.79319123,0.330087949,0.258544106
120.7865169,45.52447552,45.52447552,45.52447552,1.608391608,208.279468,3.263203743,0.287895101,0.275473189
