Lb,d,bf,tw,tf,bf/2tf,h/tw,Zx*10^3,Iy*10^6,ry,J*10^3,Cw*10^9,E*10^3,Fy,G*10^3,Mp,Mcr,Lb/ry,h/tw,B/2t,h/B,tf/tw,E/Fy,Mp/Mcr
8000,947,424,24.0,42.7,4.96,33.9,21000,541,97.0,26800,111000,200,960,76.92,20160,12532.48,82.47,33.9,4.96,2.13,1.78,208.33,1.60862004
10000,947,424,24.0,42.7,4.96,33.9,21000,541,97.0,26800,111000,200,960,76.92,20160,8828.02,103.09,33.9,4.96,2.13,1.78,208.33,2.283638735
12000,947,424,24.0,42.7,4.96,33.9,21000,541,97.0,26800,111000,200,960,76.92,20160,6752.81,123.71,33.9,4.96,2.13,1.78,208.33,2.985423272
15000,947,424,24.0,42.7,4.96,33.9,21000,541,97.0,26800,111000,200,960,76.92,20160,4972.20,154.64,33.9,4.96,2.13,1.78,208.33,4.054543974
20000,947,424,24.0,42.7,4.96,33.9,21000,541,97.0,26800,111000,200,960,76.92,20160,3457.55,206.19,33.9,4.96,2.13,1.78,208.33,5.830722377
4000,942,422,22.5,39.9,5.29,36.2,19500,499,96.5,21900,102000,200,960,76.92,18720,38825.35,41.45,36.2,5.29,2.14,1.77,208.33,0.4821591815
8000,942,422,22.5,39.9,5.29,36.2,19500,499,96.5,21900,102000,200,960,76.92,18720,11295.27,82.90,36.2,5.29,2.14,1.77,208.33,1.657331345
10000,942,422,22.5,39.9,5.29,36.2,19500,499,96.5,21900,102000,200,960,76.92,18720,7906.28,103.63,36.2,5.29,2.14,1.77,208.33,2.36773733
12000,942,422,22.5,39.9,5.29,36.2,19500,499,96.5,21900,102000,200,960,76.92,18720,6015.61,124.35,36.2,5.29,2.14,1.77,208.33,3.111901501
15000,942,422,22.5,39.9,5.29,36.2,19500,499,96.5,21900,102000,200,960,76.92,18720,4402.11,155.44,36.2,5.29,2.14,1.77,208.33,4.252506033
20000,942,422,22.5,39.9,5.29,36.2,19500,499,96.5,21900,102000,200,960,76.92,18720,3040.73,207.25,36.2,5.29,2.14,1.77,208.33,6.156415825
4000,937,422,21.3,36.7,5.75,38.2,18000,454,95.5,17300,91800,200,960,76.92,17280,34878.41,41.88,38.2,5.75,2.13,1.72,208.33,0.4954354432
8000,937,422,21.3,36.7,5.75,38.2,18000,454,95.5,17300,91800,200,960,76.92,17280,10000.75,83.77,38.2,5.75,2.13,1.72,208.33,1.727869924
10000,937,422,21.3,36.7,5.75,38.2,18000,454,95.5,17300,91800,200,960,76.92,17280,6952.26,104.71,38.2,5.75,2.13,1.72,208.33,2.485522484
12000,937,422,21.3,36.7,5.75,38.2,18000,454,95.5,17300,91800,200,960,76.92,17280,5258.51,125.65,38.2,5.75,2.13,1.72,208.33,3.286103949
15000,937,422,21.3,36.7,5.75,38.2,18000,454,95.5,17300,91800,200,960,76.92,17280,3821.10,157.07,38.2,5.75,2.13,1.72,208.33,4.522262556
20000,937,422,21.3,36.7,5.75,38.2,18000,454,95.5,17300,91800,200,960,76.92,17280,2618.83,209.42,38.2,5.75,2.13,1.72,208.33,6.59837854
3600,932,419,20.3,34.3,6.11,40.1,16900,420,95.0,14400,84900,200,960,76.92,16224,39257.60,37.89,40.1,6.11,2.14,1.69,208.33,0.413270306
8000,932,419,20.3,34.3,6.11,40.1,16900,420,95.0,14400,84900,200,960,76.92,16224,9101.37,84.21,40.1,6.11,2.14,1.69,208.33,1.782588241
10000,932,419,20.3,34.3,6.11,40.1,16900,420,95.0,14400,84900,200,960,76.92,16224,6293.06,105.26,40.1,6.11,2.14,1.69,208.33,2.578077077
12000,932,419,20.3,34.3,6.11,40.1,16900,420,95.0,14400,84900,200,960,76.92,16224,4737.35,126.32,40.1,6.11,2.14,1.69,208.33,3.424696388
15000,932,419,20.3,34.3,6.11,40.1,16900,420,95.0,14400,84900,200,960,76.92,16224,3422.57,157.89,40.1,6.11,2.14,1.69,208.33,4.740298497
20000,932,419,20.3,34.3,6.11,40.1,16900,420,95.0,14400,84900,200,960,76.92,16224,2330.25,210.53,40.1,6.11,2.14,1.69,208.33,6.962337772
3600,927,419,19.3,32.0,6.54,42.2,15800,391,94.2,11900,78400,200,960,76.92,15168,36247.95,38.22,42.2,6.54,2.14,1.66,208.33,0.4184512221
8000,927,419,19.3,32.0,6.54,42.2,15800,391,94.2,11900,78400,200,960,76.92,15168,8305.82,84.93,42.2,6.54,2.14,1.66,208.33,1.826189489
10000,927,419,19.3,32.0,6.54,42.2,15800,391,94.2,11900,78400,200,960,76.92,15168,5711.54,106.16,42.2,6.54,2.14,1.66,208.33,2.655677476
12000,927,419,19.3,32.0,6.54,42.2,15800,391,94.2,11900,78400,200,960,76.92,15168,4278.38,127.39,42.2,6.54,2.14,1.66,208.33,3.545265375
15000,927,419,19.3,32.0,6.54,42.2,15800,391,94.2,11900,78400,200,960,76.92,15168,3072.04,159.24,42.2,6.54,2.14,1.66,208.33,4.937437095
20000,927,419,19.3,32.0,6.54,42.2,15800,391,94.2,11900,78400,200,960,76.92,15168,2076.57,212.31,42.2,6.54,2.14,1.66,208.33,7.304347348
3000,993,323,36.1,65.1,2.48,22.9,26400,367,70.6,71600,78900,200,960,76.92,25344,56135.19,42.49,22.9,2.48,2.87,1.80,208.33,0.4514814943
8000,993,323,36.1,65.1,2.48,22.9,26400,367,70.6,71600,78900,200,960,76.92,25344,12420.03,113.31,22.9,2.48,2.87,1.80,208.33,2.040574555
10000,993,323,36.1,65.1,2.48,22.9,26400,367,70.6,71600,78900,200,960,76.92,25344,9371.95,141.64,22.9,2.48,2.87,1.80,208.33,2.704239035
12000,993,323,36.1,65.1,2.48,22.9,26400,367,70.6,71600,78900,200,960,76.92,25344,7542.35,169.97,22.9,2.48,2.87,1.80,208.33,3.360225932
15000,993,323,36.1,65.1,2.48,22.9,26400,367,70.6,71600,78900,200,960,76.92,25344,5852.89,212.46,22.9,2.48,2.87,1.80,208.33,4.330164848
18000,993,323,36.1,65.1,2.48,22.9,26400,367,70.6,71600,78900,200,960,76.92,25344,4793.50,254.96,22.9,2.48,2.87,1.80,208.33,5.287163551
3000,980,320,33.0,58.8,2.72,25.0,23600,325,69.9,53700,69000,200,960,76.92,22656,48543.77,42.92,25.0,2.72,2.88,1.78,208.33,0.4667128544
8000,980,320,33.0,58.8,2.72,25.0,23600,325,69.9,53700,69000,200,960,76.92,22656,10376.20,114.45,25.0,2.72,2.88,1.78,208.33,2.18345837
10000,980,320,33.0,58.8,2.72,25.0,23600,325,69.9,53700,69000,200,960,76.92,22656,7776.34,143.06,25.0,2.72,2.88,1.78,208.33,2.913454443
12000,980,320,33.0,58.8,2.72,25.0,23600,325,69.9,53700,69000,200,960,76.92,22656,6229.95,171.67,25.0,2.72,2.88,1.78,208.33,3.636626404
15000,980,320,33.0,58.8,2.72,25.0,23600,325,69.9,53700,69000,200,960,76.92,22656,4813.91,214.59,25.0,2.72,2.88,1.78,208.33,4.70635674
18000,980,320,33.0,58.8,2.72,25.0,23600,325,69.9,53700,69000,200,960,76.92,22656,3932.48,257.51,25.0,2.72,2.88,1.78,208.33,5.761248749
3000,970,315,30.0,54.1,2.91,27.5,21300,284,68.6,40900,59600,200,960,76.92,20448,41636.40,43.73,27.5,2.91,2.91,1.80,208.33,0.491108734
8000,970,315,30.0,54.1,2.91,27.5,21300,284,68.6,40900,59600,200,960,76.92,20448,8655.89,116.62,27.5,2.91,2.91,1.80,208.33,2.362321824
10000,970,315,30.0,54.1,2.91,27.5,21300,284,68.6,40900,59600,200,960,76.92,20448,6448.66,145.77,27.5,2.91,2.91,1.80,208.33,3.170889783
12000,970,315,30.0,54.1,2.91,27.5,21300,284,68.6,40900,59600,200,960,76.92,20448,5145.59,174.93,27.5,2.91,2.91,1.80,208.33,3.973890872
15000,970,315,30.0,54.1,2.91,27.5,21300,284,68.6,40900,59600,200,960,76.92,20448,3960.78,218.66,27.5,2.91,2.91,1.80,208.33,5.162622253
18000,970,315,30.0,54.1,2.91,27.5,21300,284,68.6,40900,59600,200,960,76.92,20448,3227.99,262.39,27.5,2.91,2.91,1.80,208.33,6.334600739
2900,960,312,26.9,48.9,3.19,30.6,19000,251,68.1,30300,52100,200,960,76.92,18240,38365.95,42.58,30.6,3.19,2.92,1.82,208.33,0.4754215569
8000,960,312,26.9,48.9,3.19,30.6,19000,251,68.1,30300,52100,200,960,76.92,18240,7232.76,117.47,30.6,3.19,2.92,1.82,208.33,2.521860304
10000,960,312,26.9,48.9,3.19,30.6,19000,251,68.1,30300,52100,200,960,76.92,18240,5344.30,146.84,30.6,3.19,2.92,1.82,208.33,3.41297976
12000,960,312,26.9,48.9,3.19,30.6,19000,251,68.1,30300,52100,200,960,76.92,18240,4240.16,176.21,30.6,3.19,2.92,1.82,208.33,4.301719512
15000,960,312,26.9,48.9,3.19,30.6,19000,251,68.1,30300,52100,200,960,76.92,18240,3245.76,220.26,30.6,3.19,2.92,1.82,208.33,5.619631506
16000,960,312,26.9,48.9,3.19,30.6,19000,251,68.1,30300,52100,200,960,76.92,18240,3012.55,234.95,30.6,3.19,2.92,1.82,208.33,6.054678649
2800,951,310,24.4,43.9,3.53,33.8,17000,220,67.3,22000,45100,200,960,76.92,16320,35217.07,41.60,33.8,3.53,2.93,1.80,208.33,0.4634116916
8000,951,310,24.4,43.9,3.53,33.8,17000,220,67.3,22000,45100,200,960,76.92,16320,5991.94,118.87,33.8,3.53,2.93,1.80,208.33,2.723660127
10000,951,310,24.4,43.9,3.53,33.8,17000,220,67.3,22000,45100,200,960,76.92,16320,4387.05,148.59,33.8,3.53,2.93,1.80,208.33,3.720036906
12000,951,310,24.4,43.9,3.53,33.8,17000,220,67.3,22000,45100,200,960,76.92,16320,3457.99,178.31,33.8,3.53,2.93,1.80,208.33,4.719510086
15000,951,310,24.4,43.9,3.53,33.8,17000,220,67.3,22000,45100,200,960,76.92,16320,2629.78,222.88,33.8,3.53,2.93,1.80,208.33,6.2058412
16000,951,310,24.4,43.9,3.53,33.8,17000,220,67.3,22000,45100,200,960,76.92,16320,2436.97,237.74,33.8,3.53,2.93,1.80,208.33,6.696845615
2700,943,307,22.1,39.8,3.86,37.3,15300,195,66.5,16500,39700,200,960,76.92,14688,33000.68,40.60,37.3,3.86,2.94,1.80,208.33,0.4450816982
8000,943,307,22.1,39.8,3.86,37.3,15300,195,66.5,16500,39700,200,960,76.92,14688,5073.24,120.30,37.3,3.86,2.94,1.80,208.33,2.89519239
10000,943,307,22.1,39.8,3.86,37.3,15300,195,66.5,16500,39700,200,960,76.92,14688,3682.45,150.38,37.3,3.86,2.94,1.80,208.33,3.988653281
12000,943,307,22.1,39.8,3.86,37.3,15300,195,66.5,16500,39700,200,960,76.92,14688,2884.19,180.45,37.3,3.86,2.94,1.80,208.33,5.092590374
15000,943,307,22.1,39.8,3.86,37.3,15300,195,66.5,16500,39700,200,960,76.92,14688,2179.15,225.56,37.3,3.86,2.94,1.80,208.33,6.740228761
16000,943,307,22.1,39.8,3.86,37.3,15300,195,66.5,16500,39700,200,960,76.92,14688,2016.15,240.60,37.3,3.86,2.94,1.80,208.33,7.285182519
3000,932,310,21.1,34.6,4.48,39.1,13700,171,65.5,11700,34400,200,960,76.92,13152,23313.56,45.80,39.1,4.48,2.89,1.64,208.33,0.5641351306
8000,932,310,21.1,34.6,4.48,39.1,13700,171,65.5,11700,34400,200,960,76.92,13152,4212.91,122.14,39.1,4.48,2.89,1.64,208.33,3.121829245
10000,932,310,21.1,34.6,4.48,39.1,13700,171,65.5,11700,34400,200,960,76.92,13152,3024.34,152.67,39.1,4.48,2.89,1.64,208.33,4.348716571
12000,932,310,21.1,34.6,4.48,39.1,13700,171,65.5,11700,34400,200,960,76.92,13152,2348.87,183.21,39.1,4.48,2.89,1.64,208.33,5.5992775
15000,932,310,21.1,34.6,4.48,39.1,13700,171,65.5,11700,34400,200,960,76.92,13152,1758.97,229.01,39.1,4.48,2.89,1.64,208.33,7.477099695
